Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Aquifoliaceae,NA,21,Aquifoliales,Campanulidae,Aquifoliaceae undiff.,43,Ilex is split,NA,NA
Aquilegia,NA,1270,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,4,NA,NA,NA
Arabis,NA,21578,Brassicaceae,Brassicales,Brassicaceae,2,NA,NA,NA
Araceae,NA,859,Alismatales,Nartheciidae,Araceae undiff.,NA,NA,NA,NA
Araceae-type,126,NA,NA,NA,Araceae undiff.,NA,NA,NA,NA
Araceae cf. Anthurium-type,NA,23500,Araceae,Alismatales,Araceae undiff.,NA,NA,NA,NA
Araceae undiff.,128,NA,NA,NA,Araceae undiff.,NA,NA,NA,NA
Aralia hispida,NA,565,Aralia,Araliaceae,Araliaceae,NA,NA,NA,NA
Araliaceae,NA,22,Apiales,Apiidae,Araliaceae,NA,NA,NA,NA
Arbutus,132,NA,NA,NA,Ericaceae subf. Arbutoideae,NA,NA,NA,NA
Arceuthobium,NA,23,Santalaceae subf. Visceae,Santalaceae,Arceuthobium,228,NA,NA,NA
Arceuthobium americanum,NA,1014,Arceuthobium,Santalaceae subf. Visceae,Arceuthobium,NA,NA,NA,NA
Arceuthobium pusillum,NA,567,Arceuthobium,Santalaceae subf. Visceae,Arceuthobium,NA,NA,NA,NA
Arceuthobium/Loranthaceae,NA,248,Viscaceae sensu stricto/Loranthaceae,Santalales,skip,NA,NA,NA,NA
Arctostaphylos,NA,1162,Ericaceae subf. Arbutoideae,Ericaceae,Ericaceae subf. Arbutoideae,21,NA,NA,NA
Arctostaphylos uva-ursi,NA,568,Arctostaphylos,Ericaceae subf. Arbutoideae,Ericaceae subf. Arbutoideae,NA,NA,NA,NA
Arctous alpina/A. rubra,NA,3612,Arctous,Ericaceae subf. Arbutoideae,Ericaceae subf. Arbutoideae,NA,NA,NA,NA
Arecaceae,NA,199,Arecales,Commelinidae,Arecaceae undiff.,NA,NA,NA,NA
Arecaceae-type undiff.,NA,1230,Arecaceae-type,Monocotyledoneae incertae sedis,Arecaceae undiff.,NA,NA,NA,NA
Arecaceae undiff.,NA,910,Arecaceae,Arecales,Arecaceae undiff.,NA,NA,NA,NA
Arenaria,NA,994,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,4,NA,NA,NA
Arenaria-type,NA,3830,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,2,NA,NA,NA
Armeria,NA,24,Armeria-type,Plumbaginaceae,Plumbaginaceae,11,scattered,NA,NA
Armeria maritima,NA,569,Armeria maritima-type,Armeria-type,Plumbaginaceae,10,Ecan - one worker,NA,NA
Artemisia,NA,25,Asteraceae tribe Anthemideae,Asteraceae subf. Asteroideae,Artemisia,NA,NA,NA,NA
Artemisia-type,NA,1602,Asteraceae tribe Anthemideae,Asteraceae subf. Asteroideae,Artemisia,NA,NA,NA,NA
Aruncus,NA,NA,NA,NA,Rosaceae undiff.,1,NA,NA,NA
Asimina,NA,NA,NA,NA,Annonaceae,NA,NA,NA,NA
Aster,NA,2652,Asteraceae tribe Astereae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Aster-type,NA,3439,Asteraceae subf. Asteroideae,Asteraceae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteraceae,NA,409,Asterales,Apiidae,Asteraceae undiff.,NA,NA,NA,NA
Asteraceae (high spine),NA,876,Asteraceae,Asterales,Asteraceae undiff.,NA,NA,NA,NA
"Asteraceae (lophate, echinate)",NA,20924,Asteraceae (lophate),Asteraceae,Asteraceae undiff.,NA,NA,NA,NA
Asteraceae (low spine),NA,877,Asteraceae,Asterales,Asteraceae undiff.,NA,NA,NA,NA
Asteraceae cf. Cirsium,NA,3847,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,Asteraceae subf. Carduoideae,NA,NA,NA,NA
Asteraceae indet.,NA,NA,NA,NA,Asteraceae undiff.,NA,NA,NA,NA
Asteraceae undiff.,NA,61,Asteraceae,Asterales,Asteraceae undiff.,NA,NA,NA,NA
Asteroideae,157,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteroideae (coarse spine),158,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteroideae (high spine),159,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteroideae (large),160,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteroideae (low spine),161,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Asteroideae undiff.,162,NA,NA,NA,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Astragalus,NA,1002,Fabaceae subf. Faboideae,Fabaceae,Astragalus,NA,NA,NA,NA
Astragalus-type,NA,1163,Fabaceae subf. Faboideae,Fabaceae,Astragalus,NA,NA,NA,NA
Astragalus alpinus,NA,2914,Astragalus alpinus-type,Astragalus,Astragalus,NA,NA,NA,NA
Astragalus/Lupinus,NA,2956,Fabaceae subf. Faboideae,Fabaceae,Astragalus,NA,NA,NA,NA
Avena-type,NA,414,Poaceae,Poales,Avena,25,NA,NA,NA
Avena/Triticum,NA,415,Poaceae,Poales,Avena,11,NA,NA,NA
Baccharis,NA,3037,Asteraceae tribe Astereae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Balsaminaceae,NA,3460,Ericales,Asteridae,Impatiens,4,NA,NA,NA
Batis,NA,1480,Bataceae,Brassicales,skip,2,2 sites on US/MX border,NA,NA
Berberidaceae,NA,867,Ranunculales,Eudicotyledoneae,Berberidaceae,6,NA,NA,NA
Berberis,NA,1631,Berberidaceae,Ranunculales,Berberidaceae,NA,NA,NA,NA
Berberis-type,NA,973,Berberidaceae,Ranunculales,Berberidaceae,NA,NA,NA,NA
Berberis repens,NA,9703,Berberis,Berberidaceae,Berberidaceae,NA,NA,NA,NA
Berchemia scandens,NA,938,Berchemia,Rhamnaceae,Rhamnaceae undiff.,1,NA,NA,NA
Berlandiera-type,NA,28,Asteraceae subf. Asteroideae,Asteraceae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Beta vulgaris-type,NA,2547,Beta-type,Amaranthaceae,Amaranthaceae undiff.,1,NA,NA,NA
Betula,NA,29,Betulaceae,Fabales,Betula,NA,NA,NA,NA
Betula (<20 µm),179,NA,NA,NA,Betula,NA,NA,NA,NA
Betula (>20 µm),180,NA,NA,NA,Betula,NA,NA,NA,NA
Betula (>25 µm),181,NA,NA,NA,Betula,NA,NA,NA,NA
Betula (20-25 µm),182,NA,NA,NA,Betula,NA,NA,NA,NA
Betula (shrub),NA,574,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula (small),NA,5736,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula (tree),NA,857,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula det. shrub,NA,1010,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula det. tree,NA,1009,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula glandulosa,NA,5776,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula glandulosa-type,NA,5777,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula nana,NA,3208,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula papyrifera,NA,576,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula undiff.,NA,1011,Betula,Betulaceae,Betula,NA,NA,NA,NA
Betula/Myrica,NA,26970,Betulaceae/Myricaceae,Fabales,skip,NA,NA,NA,NA
Betulaceae,NA,327,Fabales,Fabidae,skip,NA,NA,NA,NA
Betulaceae undiff.,NA,357,Betulaceae,Fabales,skip,NA,NA,NA,NA
Betulaceae/Myricaceae undiff.,NA,1258,Betulaceae/Myricaceae,Fabales,skip,NA,NA,NA,NA
Bidens,NA,349,Asteraceae tribe Coreopsideae,Asteraceae subf. Asteroideae,Bidens,73,Great Plains,NA,NA
Bidens-type,NA,31,Asteraceae subf. Asteroideae,Asteraceae,Bidens,NA,NA,NA,NA
Bignoniaceae,NA,NA,NA,NA,skip,0,NA,NA,NA
Bistorta,NA,9517,Polygonaceae,Caryophyllales,Bistorta,4,NA,NA,NA
Bistorta bistortoides,NA,869,Bistorta,Polygonaceae,Bistorta,39,NA,NA,NA
Bistorta bistortoides-type,NA,232,Bistorta,Polygonaceae,Bistorta,NA,NA,NA,NA
Bistorta officinalis,NA,1184,Bistorta,Polygonaceae,Bistorta,NA,NA,NA,NA
Bistorta officinalis-type,NA,703,Bistorta,Polygonaceae,Bistorta,NA,NA,NA,NA
Bistorta vivipara,NA,705,Bistorta,Polygonaceae,Bistorta,NA,NA,NA,NA
Bistorta vivipara-type,NA,824,Bistorta,Polygonaceae,Bistorta,NA,NA,NA,NA
Bobea,NA,NA,NA,NA,skip,0,NA,NA,NA
Boehmeria,NA,1353,Urticaceae,Urticalean Rosids,Urticaceae,1,NA,NA,NA
Boerhavia,NA,1533,Nyctaginaceae,Caryophyllales,Boerhavia,7,SWUS,NA,NA
Boraginaceae,NA,32,Lamiidae,Garryidae,Boraginaceae,NA,NA,NA,NA
Boraginaceae undiff.,NA,1074,Boraginaceae,Lamiidae,Boraginaceae,NA,NA,NA,NA
Brassica,NA,419,Brassicaceae,Brassicales,Brassicaceae,17,widely distributed,NA,NA
Brassicaceae,NA,420,Brassicales,Malvidae,Brassicaceae,NA,NA,NA,NA
Brassicaceae-type,NA,2948,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Brassicaceae,NA,NA,NA,NA
Brassicaceae-type undiff.,NA,2947,Brassicaceae-type,Eudicotyledoneae incertae sedis,Brassicaceae,NA,NA,NA,NA
Brassicaceae cf. Brassica,NA,898,Brassicaceae,Brassicales,Brassicaceae,NA,NA,NA,NA
Brassicaceae undiff.,NA,70,Brassicaceae,Brassicales,Brassicaceae,NA,NA,NA,NA
Bromeliaceae,NA,878,Poales,Commelinidae,Bromeliaceae undiff.,NA,NA,NA,NA
Broussasia (flat-lobed),NA,NA,NA,NA,skip,0,NA,NA,NA
Broussasia (round-lobed),NA,NA,NA,NA,skip,0,NA,NA,NA
Bumelia,NA,36,Sapotaceae,Sapindales,Meliaceae/Sapotaceae,5,S FL,NA,NA
Bumelia-type,NA,NA,NA,NA,Meliaceae/Sapotaceae,NA,NA,NA,NA
Bupleurum,NA,1012,Apiaceae,Apiales,Apiaceae,7,Alaskan,NA,NA
Bupleurum-type,NA,1267,Apiaceae,Apiales,Apiaceae,3,Florida,NA,NA
Bursera,NA,37,Burseraceae,Sapindales,Bursera,1,NA,NA,NA
Bursera-type,NA,23501,Bursera,Burseraceae,Bursera,0,NA,NA,NA
Bursera simaruba,NA,3573,Bursera,Burseraceae,Bursera,4,NA,NA,NA
Byrsonima,NA,1719,Malpighiaceae,Malpighiales,Malpighiaceae,1,NA,NA,NA
Cactaceae,NA,1680,Caryophyllales,Pentapetalae,Cactaceae undiff.,NA,NA,NA,NA
Calendula,NA,5301,Asteraceae tribe Calenduleae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Caltha-type,NA,585,Ranunculaceae,Ranunculales,Caltha,NA,NA,NA,NA
Caltha leptosepala,NA,2231,Caltha,Ranunculaceae,Caltha,NA,NA,NA,NA
Calycanthus,NA,939,Calycanthaceae,Laurales,skip,2,only 2 sites with this genus/family,NA,NA
Calylophus,230,NA,NA,NA,Onagraceae undiff.,NA,NA,NA,NA
Calystegia,NA,1517,Convolvulaceae,Solanales,Convolvulaceae,1,NA,NA,NA
Camassia,NA,872,Asparagaceae subf. Agavoideae,Asparagaceae,Asparagaceae,2,NA,NA,NA
Campanula,NA,813,Campanuloideae subf. Campanuloideae,Campanulaceae,Campanula,43,lots in west,NA,NA
Campanula-type,NA,586,Campanuloideae subf. Campanuloideae,Campanulaceae,Campanula,NA,NA,NA,NA
Campanula aparinoides-type,NA,421,Campanula-type,Campanuloideae subf. Campanuloideae,Campanula,NA,NA,NA,NA
Campanula rotundifolia-type,NA,422,Campanula-type,Campanuloideae subf. Campanuloideae,Campanula,NA,NA,NA,NA
Campanulaceae,NA,351,Asterales,Apiidae,Campanulaceae undiff.,NA,NA,NA,NA
Cannabaceae,NA,9115,Urticalean Rosids,Rosales,Cannabaceae undiff.,NA,NA,NA,NA
Cannabaceae cf. Humulus,NA,1255,Cannabaceae,Urticalean Rosids,Cannabaceae undiff.,NA,NA,NA,NA
Cannabaceae sensu stricto,NA,42,Cannabaceae,Urticalean Rosids,Cannabaceae undiff.,NA,NA,NA,NA
Cannabaceae sensu stricto undiff.,NA,1208,Cannabaceae sensu stricto,Cannabaceae,Cannabaceae undiff.,NA,NA,NA,NA
Cannabis,242,NA,NA,NA,Cannabaceae undiff.,NA,NA,NA,NA
Cannabis-type,NA,5823,Cannabaceae,Urticalean Rosids,Humulus/Cannabis,NA,NA,NA,NA
Cannabis sativa,NA,426,Cannabis,Cannabaceae,Humulus/Cannabis,4,NA,NA,NA
Cannabis sativa-type,NA,424,Cannabis-type,Cannabaceae,Humulus/Cannabis,8,NA,NA,NA
Canotia,NA,1582,Celastraceae,Celastrales,Celastraceae,5,NM,NA,NA
Canthium,NA,NA,NA,NA,skip,0,NA,NA,NA
Caprifoliaceae,NA,394,Dipsacales,Apiidae,Caprifoliaceae undiff.,NA,NA,NA,NA
Caprifoliaceae sensu lato,NA,9528,Dipsacales,Apiidae,Caprifoliaceae undiff.,NA,NA,NA,NA
Caprifoliaceae sensu lato undiff.,NA,9529,Caprifoliaceae sensu lato,Dipsacales,Caprifoliaceae undiff.,NA,NA,NA,NA
Caprifoliaceae undiff.,NA,43,Caprifoliaceae,Dipsacales,Caprifoliaceae undiff.,NA,NA,NA,NA
Cardueae,252,NA,NA,NA,Asteraceae subf. Carduoideae,NA,NA,NA,NA
Carduoideae undiff.,NA,NA,NA,NA,skip,NA,NA,NA,NA
Carduus-type,NA,NA,NA,NA,Asteraceae subf. Carduoideae,1,introduced thistle,NA,NA
Carex,NA,1297,Cyperaceae,Poales,Cyperaceae,17,NA,NA,NA
Carpinus,NA,1429,Betulaceae,Fabales,Ostrya/Carpinus,NA,NA,NA,NA
Carpinus-type,NA,1505,Betulaceae,Fabales,Ostrya/Carpinus,NA,NA,NA,NA
Carya,NA,44,Juglandaceae,Fagales,Carya,NA,NA,NA,NA
Carya cordiformis,NA,587,Carya,Juglandaceae,Carya,NA,NA,NA,NA
Carya ovata,NA,588,Carya,Juglandaceae,Carya,NA,NA,NA,NA
Caryophyllaceae,NA,45,Caryophyllales,Pentapetalae,Caryophyllaceae undiff.,NA,NA,NA,NA
Caryophyllaceae cf. Dianthus,NA,1280,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,NA,NA,NA,NA
Caryophyllaceae undiff.,NA,1013,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,NA,NA,NA,NA
Cassiope,NA,1153,Ericaceae subf. Cassiopoideae,Ericaceae,Ericaceae subf. Cassiopoideae,1,NA,NA,NA
Cassiope-type,NA,2643,Ericaceae subf. Cassiopoideae,Ericaceae,Ericaceae subf. Cassiopoideae,NA,NA,NA,NA
Cassiope tetragona,266,NA,NA,NA,Ericaceae subf. Cassiopoideae,NA,NA,NA,NA
Cassiope tetragona-type,267,NA,NA,NA,Ericaceae subf. Cassiopoideae,NA,NA,NA,NA
Castanea,NA,47,Fagaceae,Fagales,Castanea,NA,NA,NA,NA
Castanea-type,NA,3996,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Castanea,NA,NA,NA,NA
Castanea dentata,NA,590,Castanea,Fagaceae,Castanea,NA,NA,NA,NA
Castanopsis,NA,9601,Fagaceae,Fagales,Fagaceae undiff.,NA,NA,NA,NA
Castilleja,NA,1276,Orobanchaceae,Lamiales,Orobanchaceae,11,SWUS,NA,NA
Casuarina,NA,2704,Casuarinaceae,Fagales,skip,0,not present in NAPD,NA,NA
Caulophyllum,NA,1085,Berberidaceae,Ranunculales,Berberidaceae,4,NA,NA,NA
Ceanothus,NA,48,Rhamnaceae,Rosales,Ceanothus/Rhamnus,178,NA,NA,NA
Ceanothus-type,NA,1472,Rhamnaceae,Rosales,Ceanothus/Rhamnus,NA,NA,NA,NA
Cecropia,NA,781,Urticaceae,Urticalean Rosids,Urticaceae,NA,NA,NA,NA
Cedrus,NA,2249,Pinaceae,Coniferae,Cedrus,4,NA,NA,NA
Celastraceae,NA,1562,Celastrales,Fabidae,Celastraceae,NA,NA,NA,NA
Celastrus scandens,281,NA,NA,NA,Celastraceae,NA,NA,NA,NA
Celtis,NA,49,Cannabaceae,Urticalean Rosids,Celtis,NA,NA,NA,NA
Celtis-type,NA,1415,Urticalean Rosids incertae sedis,Urticalean Rosids,skip,NA,NA,NA,NA
Celtis occidentalis,NA,591,Celtis,Cannabaceae,Celtis,NA,NA,NA,NA
Celtis/Maclura,NA,829,Urticalean Rosids incertae sedis,Urticalean Rosids,skip,NA,NA,NA,NA
Celtis/Maclura-type,NA,946,Urticalean Rosids incertae sedis,Urticalean Rosids,skip,NA,NA,NA,NA
Centaurea,NA,592,Centaurea-type,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,8,NA,NA,NA
Centaurea-type,NA,1510,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,Asteraceae subf. Carduoideae,3,NA,NA,NA
Centaurea jacea-type,NA,NA,NA,NA,Asteraceae subf. Carduoideae,NA,NA,NA,NA
Cephalanthus,NA,50,Rubiaceae,Gentianales,Cephalanthus,NA,NA,NA,NA
Cephalanthus occidentalis,NA,593,Cephalanthus,Rubiaceae,Cephalanthus,NA,NA,NA,NA
Cerastium-type,NA,999,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,2,NA,NA,NA
Ceratiola ericoides,NA,51,Ceratiola,Ericaceae subf. Ericoideae,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Ceratiola ericoides-type,NA,1100,Ericaceae subf. Ericoideae,Ericaceae,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Cercis,NA,3479,Fabaceae subf. Cercidoideae,Fabaceae,Fabaceae undiff.,4,NA,NA,NA
Cercocarpus,NA,1103,Rosaceae,Rosales,Cercocarpus,NA,NA,NA,NA
Cercocarpus-type,NA,984,Rosaceae,Rosales,Cercocarpus,NA,NA,NA,NA
Cercocarpus/Purshia,NA,2951,Rosaceae,Rosales,Cercocarpus,NA,NA,NA,NA
cf. Acalypha,NA,18473,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Acanthaceae,NA,5766,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Amelanchier,302,NA,NA,NA,skip,NA,NA,NA,NA
cf. Araceae,NA,1911,Monocotyledoneae incertae sedis,Monocotyledoneae,skip,NA,NA,NA,NA
cf. Araliaceae,NA,27018,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Arceuthobium,NA,18474,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Ardisia,NA,23502,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Arisaema,NA,5755,Araceae,Alismatales,Araceae undiff.,NA,NA,NA,NA
cf. Bistorta bistortoides,NA,1595,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Bocconia,NA,578,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Brassicaceae,NA,1120,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Carya,NA,22602,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Castanea,NA,23535,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Castilleja,NA,1271,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Ceanothus,NA,899,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Ceanothus velutinus,NA,987,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Celtis,NA,2631,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Cephalanthus,NA,2218,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Cercocarpus,NA,1495,Fabidae incertae sedis,Fabidae,skip,NA,NA,NA,NA
cf. Cistaceae,NA,3638,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Coccoloba,NA,5767,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Collinsia,NA,2967,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Cupressaceae,NA,1945,Cupressophyta incertae sedis,Cupressophyta,skip,NA,NA,NA,NA
cf. Dalea,NA,1497,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Descurainia,NA,5774,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Diapensia lapponica,NA,606,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Dodecatheon,NA,1482,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Dryas,NA,3650,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Eriogonum,NA,900,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Euphorbia,NA,4285,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Euphorbiaceae,NA,4284,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Fabaceae,NA,4432,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Fraxinus,NA,1248,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Gilia,NA,2236,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Hedysarum,NA,2603,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Heuchera richardsonii,NA,1436,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Hypericum,NA,647,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Juglans,NA,3613,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Juncus,NA,3712,Poales incertae sedis,Poales,skip,NA,NA,NA,NA
cf. Lewisia,NA,3483,Caryophyllales incertae sedis,Caryophyllales,skip,NA,NA,NA,NA
cf. Liliaceae,346,NA,NA,NA,skip,NA,NA,NA,NA
cf. Limonium,NA,1485,Plumbaginaceae,Caryophyllales,Plumbaginaceae,NA,NA,NA,NA
cf. Linanthus,NA,1486,Polemoniaceae,Ericales,Polemoniaceae undiff.,NA,NA,NA,NA
cf. Linum,NA,3214,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Lysimachia,NA,3614,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Mertensia paniculata,NA,1437,Boraginaceae,Lamiidae,Boraginaceae,NA,NA,NA,NA
cf. Morus,NA,1116,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Myrica,NA,1119,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Nemopanthus,NA,1508,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Nothocestrum,NA,NA,NA,NA,skip,NA,NA,NA,NA
cf. Ostrya/Carpinus,NA,3608,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Oxalis,NA,2645,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Oxyria digyna,NA,681,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Parnassia,NA,1104,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Parthenocissus,363,NA,NA,NA,skip,NA,NA,NA,NA
cf. Pedicularis,NA,989,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Penthorum sedoides,NA,1438,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Persicaria,NA,NA,NA,NA,skip,NA,NA,NA,NA
cf. Phacelia,NA,901,Lythraceae,Myrtales,Lythraceae undiff.,NA,NA,NA,NA
cf. Phacelia hastata,NA,2237,Lythraceae,Myrtales,Lythraceae undiff.,NA,NA,NA,NA
cf. Phlox,368,NA,NA,NA,skip,NA,NA,NA,NA
cf. Physalis,NA,2647,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Platanus,NA,4662,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Podophyllum,NA,5756,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Populus,NA,2571,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Portulaca,NA,2232,Caryophyllales incertae sedis,Caryophyllales,skip,NA,NA,NA,NA
cf. Primula,NA,1286,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Protium,NA,23504,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Rafinesquia,NA,1499,Asteraceae subf. Cichorioideae,Asteraceae,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
cf. Rhamnus,NA,1071,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Ceanothus/Rhamnus,NA,NA,NA,NA
cf. Rhus,NA,1075,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Anacardiaceae undiff.,NA,NA,NA,NA
cf. Rubus arcticus,NA,26971,Rosaceae,Rosales,Rosaceae undiff.,NA,NA,NA,NA
cf. Rumex,NA,1076,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Sambucus,NA,902,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Sanguisorba,NA,1077,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Sarcobatus vermiculatus,NA,743,Caryophyllales incertae sedis,Caryophyllales,skip,NA,NA,NA,NA
cf. Saxifraga oppositifolia,NA,18476,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Saxifragaceae,NA,1264,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Scrophulariaceae,NA,990,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Silene,391,NA,NA,NA,skip,NA,NA,NA,NA
cf. Taxus,NA,757,Cupressophyta incertae sedis,Cupressophyta,skip,NA,NA,NA,NA
cf. Valeriana,NA,1560,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Verbascum,NA,5754,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
