neotoma_names,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Abies,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,NA
Acer negundo-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Acer rubrum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum
Acer saccharum-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Acer undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Alnus incana-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,NA
Amaranthaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,NA
Anacardiaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,NA
Apiaceae,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apiaceae,NA
Apocynum,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Apocynum,NA
Arecaceae undiff.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Arecaceae,NA
Artemisia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,NA
Berberidaceae,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberidaceae,NA
Beta vulgaris-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Beta,NA
Betula,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,NA
Brassica,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
Brassicaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,NA
Bromeliaceae,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromeliaceae,NA
Bursera,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bursera,NA
Byrsonima,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,NA
Campanulaceae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,NA
Carya,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
Caryophyllaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,NA
Ceanothus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,NA
Cedrus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,NA
Celtis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,NA
Cephalanthus,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cephalanthus,NA
Ceratiola ericoides-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Ceratiola,NA
Chamaecrista fasciculata-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,NA
Cistaceae,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistaceae,NA
Clethra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA
Corylus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,NA
Cupressaceae undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
Cyclachaena xanthiifolia-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyclachaena,NA
Cyperaceae,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperaceae,NA
Cyrilla racemiflora,Plantae,Tracheophyta,Magnoliopsida,Ericales,Cyrillaceae,Cyrilla,Cyrilla racemiflora
Dalea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dalea candida-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dalea purpurea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea purpurea
Dalea undiff.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dodonaea,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,NA
Ericaceae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Ericaceae,NA
Euphorbia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,NA
Fabaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae,NA
Fagus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,NA
Fraxinus nigra-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Fraxinus pennsylvanica-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Fraxinus undiff.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Galium,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,NA
Gentiana andrewsii-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,NA
Gentianaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,NA
Gordonia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Gordonia,NA
Hedyosmum,Plantae,Tracheophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA
Hedysarum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hedysarum,NA
Ilex,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
Impatiens,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NA
Iva frutescens-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Iva,NA
Juglans nigra-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
Lamiaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,NA
Lechea,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Lechea,NA
Liquidambar,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,NA
Magnolia,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,NA
Malvaceae,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaceae,NA
Moraceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Moraceae,NA
Morus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,NA
Myrica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Myrica,NA
Myrtaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrtaceae,NA
Nyssa,Plantae,Tracheophyta,Magnoliopsida,Cornales,Nyssaceae,Nyssa,NA
Onagraceae,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Onagraceae,NA
Opuntia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,NA
Orchidaceae,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchidaceae,NA
Osmanthus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Osmanthus,NA
Paronychia americana,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Paronychia,Paronychia americana
Paronychia chartacea,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Paronychia,Paronychia chartacea
Parthenocissus,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,NA
Persicaria amphibia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia
Phoradendron,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,NA
Picea,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,NA
Pinaceae (vesiculate) undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinaceae,NA
Pinus subg. Pinus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Pinus subg. Strobus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Pinus undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Plantago,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,NA
Platanus,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,NA
Poaceae,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poaceae,NA
Podocarpus,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,Podocarpus,NA
Polygalaceae,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygalaceae,NA
Polygonum delopyrum-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Polygonum fimbriatum-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Polygonum polygamum-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Polygonum tenue-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Populus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
Ranunculaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,NA
Rhamnaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,NA
Rhus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,NA
Rosaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosaceae,NA
Rubiaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,NA
Rumex,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,NA
Rutaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Rutaceae,NA
Sabal,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Sabal,NA
Salix,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,NA
Sambucus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,NA
Sanguisorba,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,NA
Sapindus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus,NA
Serenoa,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Serenoa,NA
Shepherdia canadensis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Shepherdia,Shepherdia canadensis
Sisyrinchium,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,NA
Solanaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanaceae,NA
Solanum rostratum,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum angustifolium
Symplocos,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae,Symplocos,NA
Taxodium,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Taxodium,NA
Taxus,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,NA
Thalictrum,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,NA
Tilia,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,NA
Tillandsia,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,NA
Trema,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,NA
Trifolium repens-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,NA
Tsuga,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Tsuga,NA
Ulmus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,NA
Urticaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urticaceae,NA
Viburnum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,NA
Vitis,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,NA
Xanthium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Xanthium,NA
Ximenia,Plantae,Tracheophyta,Magnoliopsida,Santalales,Ximeniaceae,Ximenia,NA
Xyris,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,NA
Alnus incana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus incana
Alnus undiff.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,NA
Amaranthaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,NA
Amelanchier,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,NA
Arceuthobium,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Arceuthobium,NA
Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,NA
Ephedra,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Eriogonum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,NA
Fabaceae,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae,NA
Fraxinus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Juniperus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
Pinus albicaulis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Pinus contorta-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Polygonaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,NA
Potentilla,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,NA
Pseudotsuga,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,NA
Sarcobatus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Sarcobataceae,Sarcobatus,NA
Sphaeralcea,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,NA
Acer,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Alnus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,NA
Asteraceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,NA
Castanea,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanea,NA
Cornus,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA
Juglans,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
Pinus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosaceae,NA
Cupressaceae,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
Elaeagnus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,NA
Ephedra viridis-type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Euphorbiaceae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,NA
Lamiaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,NA
Larix,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Larix,NA
Malvaceae sensu stricto,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaceae,NA
Persicaria lapathifolia-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,NA
Plantago major,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago major
Polemonium,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Polemonium,NA
Polygonum aviculare-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Primulaceae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primulaceae,NA
Rhamnus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,NA
Sarcobatus vermiculatus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Sarcobataceae,Sarcobatus,Sarcobatus vermiculatus
Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifragaceae,NA
Scrophulariaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophulariaceae,NA
Solanaceae,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanaceae,NA
Viscaceae sensu stricto,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Viscaceae,NA
Ambrosia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,NA
Arctostaphylos,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,NA
Berberis,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,NA
Bistorta bistortoides,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,Bistorta bistortoides
Cactaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cactaceae,NA
Cercocarpus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cercocarpus,NA
Cirsium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,NA
Holodiscus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Holodiscus,NA
Liliaceae,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Liliaceae,NA
Lonicera,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA
Parkinsonia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,NA
Pinus edulis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Pinus flexilis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Polygonum sensu lato undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Portulacaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulacaceae,NA
Ranunculus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,NA
Ribes,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,NA
Rubus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,NA
Trixis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trixis,NA
Acer negundo,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo
Acer saccharinum-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Caprifoliaceae sensu lato undiff.,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Caprifoliaceae,NA
Fraxinus (tetracolpate),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Fraxinus (tricolpate),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Juglans cinerea,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans cinerea
Juglans nigra,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans nigra
Oxyria digyna,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Oxyria,Oxyria digyna
Rhamnaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,NA
Salsola,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,NA
Cyclachaena xanthiifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyclachaena,Cyclachaena xanthiifolia
Ephedra nevadensis-type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Shepherdia argentea,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Shepherdia,Shepherdia argentea
Abies balsamea,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
Acer pensylvanicum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer pensylvanicum
Acer saccharum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer saccharum
Acer spicatum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer spicatum
Alnus viridis-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,NA
Betula undiff.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,NA
Bistorta vivipara,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,Bistorta vivipara
Carya ovata,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,Carya ovata
Castanea dentata,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanea,Castanea dentata
Corylus cornuta,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus cornuta
Epilobium,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,NA
Juniperus communis/Thuja occidentalis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
Koenigia islandica,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Koenigia,Koenigia islandica
Myrica gale,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Myrica,Myrica gale
Oxytropis maydelliana-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Oxytropis,NA
Pedicularis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,NA
Picea glauca-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,NA
Picea mariana-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,NA
Picea undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,NA
Pinaceae,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinaceae,NA
Pinus banksiana-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Pinus strobus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus strobus
Populus balsamifera-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
Populus tremuloides-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
Prunus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,NA
Rhamnus alnifolia/Frangula alnus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,NA
Saxifraga cernua-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,NA
Saxifraga oppositifolia-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,NA
Tsuga canadensis,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga canadensis
Anacardiaceae,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,NA
Aquifoliaceae,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Aquifoliaceae,NA
Gleditsia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,NA
Iva annua-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Iva,NA
Poaceae undiff.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poaceae,NA
Polygonum sensu lato,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Shepherdia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Shepherdia,NA
Aconitum,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,NA
Alnus viridis,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus alnobetula
Boraginaceae,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Boraginaceae,NA
Ericales,Plantae,Tracheophyta,Magnoliopsida,Ericales,undiff,undiff,NA
Gentiana,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,NA
Micranthes hieraciifolia,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes hieraciifolia
Pedicularis langsdorffii,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis langsdorffii
Pedicularis verticillata,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis verticillata
Rubus chamaemorus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus
Saxifraga cernua,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga cernua
Saxifraga tricuspidata,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga tricuspidata
Saxifragaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifragaceae,NA
Valeriana,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA
Astragalus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,NA
Bistorta officinalis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,Bistorta officinalis
Dryas,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Dryas,NA
Linnaea borealis,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Linnaea,Linnaea borealis
Oxytropis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Oxytropis,NA
Rubus arcticus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus arcticus
Saussurea,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Saussurea,NA
