taxon_name,level_6
Silenoideae-type,Caryophyllaceae
Monotropoideae,Ericaceae
Bistorta vivipara-type,Bistorta
Rumex aquaticus,Rumex
Hippocastanoideae undiff.,Sapindaceae
Ceratocephala-type,Ceratocephala
cf. Brassicaceae,Brassicaceae
Filago,Filago
Asphodelus-type,Asphodelus
Cucumis-type,Cucumis
Fumana-type,Fumana
Linum-type,Linum
Lythrum-type,Lythrum
Quercus indet.,Quercus
Quercus ithaburensis,Quercus
Scabiosa-type,Scabiosa
Styrax-type,Styrax
Amaranthaceae (broken),Amaranthaceae
Amaranthaceae (crumpled),Amaranthaceae
Asteraceae undiff. (broken),Asteraceae
Asteraceae undiff. (crumpled),Asteraceae
Calystegia-type,Calystegia
Cedrus (broken),Cedrus
Cedrus (crumpled),Cedrus
Cedrus (degraded),Cedrus
Cichorieae,Asteraceae
Cornaceae-type,Cornaceae
Cyperaceae (broken),Cyperaceae
Cyperaceae (corroded),Cyperaceae
Cyperaceae (crumpled),Cyperaceae
Cyperaceae (degraded),Cyperaceae
Oleaceae (broken),Oleaceae
Oleaceae (crumpled),Oleaceae
Oleaceae (obscured),Oleaceae
Ostrya/Corylus-type,Ostrya
Pinaceae (broken),Pinaceae
Pinaceae (corroded),Pinaceae
Pinaceae (crumpled),Pinaceae
Pinaceae (degraded),Pinaceae
Pinaceae (obscured),Pinaceae
Pinus (broken),Pinus
Pinus (corroded),Pinus
Pinus (crumpled),Pinus
Pinus (degraded),Pinus
Pinus (fragmented),Pinus
Poaceae (broken),Poaceae
"Poaceae (Cerealia-type, broken)",Poaceae
"Poaceae (Cerealia-type, corroded)",Poaceae
"Poaceae (Cerealia-type, crumpled)",Poaceae
Poaceae (corroded),Poaceae
Poaceae (crumpled),Poaceae
Poaceae (degraded),Poaceae
Quercus coccifera-type (broken),Quercus
Quercus coccifera-type: corroded,Quercus
Quercus coccifera-type (crumpled),Quercus
Quercus undiff. (broken),Quercus
Quercus undiff. (corroded),Quercus
Quercus undiff. (crumpled),Quercus
Quercus undiff. (degraded),Quercus
Quercus undiff. (obscured),Quercus
Salix-type,Salix
Valerianella-type,Valerianella
Allium cf. A. sibiricum,Allium
Astragalus alpinus,Astragalus
Papaver radicatum-type,Papaver
Anthriscus,Anthriscus
Betula/Carpinus,Betula/Carpinus
Centaurea alpina,Rhaponticoides
Centaurea nigra,Centaurea
Omalotheca,Omalotheca
Orlaya grandiflora,Orlaya
Scilla,Scilla
Alnus,Alnus
Amaranthaceae,Amaranthaceae
Apiaceae,Apiaceae
Artemisia,Artemisia
Asteroideae,Asteraceae
Betula nana,Betula
Betula sect. Apterocaryon,Betula
Betula sect. Betula,Betula
Brassicaceae,Brassicaceae
Campanula,Campanula
Caryophyllaceae,Caryophyllaceae
Cirsium,Cirsium
Corylus,Corylus
Cyperaceae,Cyperaceae
Ephedra,Ephedra
Fabaceae,Fabaceae
Filipendula,Filipendula
Galium,Galium
Iridaceae,Iridaceae
Lamiaceae,Lamiaceae
Linum,Linum
Onagraceae,Onagraceae
Picea,Picea
Pinus sylvestris,Pinus
Poaceae,Poaceae
Polygonum,Polygonum
Quercus,Quercus
Ranunculaceae,Ranunculaceae
Rumex,Rumex
Salix,Salix
Sambucus,Sambucus
Thalictrum,Thalictrum
Tilia,Tilia
Ulmus,Ulmus
Urtica,Urtica
Viburnum,Viburnum
Aster,Aster
Asteraceae,Asteraceae
Betula,Betula
Carpinus,Carpinus
Cupressaceae,Cupressaceae
Juniperus,Juniperus
Larix,Larix
Nitraria,Nitraria
Pinus,Pinus
Ranunculus,Ranunculus
Rhamnaceae,Rhamnaceae
Rosaceae,Rosaceae
Tamaricaceae,Tamaricaceae
Alnus hirsuta,Alnus
Alnus viridis subsp. fruticosa,Alnus
Betula nana subsp. exilis,Betula
Betula pendula subsp. mandshurica,Betula
Chrozophora tinctoria,Chrozophora
Cichorioideae,Asteraceae
Ericales,undiff
Larix gmelinii,Larix
Phlox sibirica,Phlox
Picea obovata,Picea
Pinus subg. Strobus,Pinus
Polygala,Polygala
Rubus chamaemorus,Rubus
Sanguisorba officinalis,Sanguisorba
Saxifraga,Saxifraga
Abies,Abies
Acer,Acer
Aesculus,Aesculus
Asteraceae undiff.,Asteraceae
Buxus,Buxus
Castanea,Castanea
Castanopsis,Castanopsis
Celtis/Aphananthe,Celtis
Cryptomeria,Cryptomeria
Cupressaceae undiff.,Cupressaceae
Elaeagnus,Elaeagnus
Ericaceae,Ericaceae
Fagus,Fagus
Fraxinus,Fraxinus
Gentianaceae,Gentianaceae
Geranium,Geranium
Haloragis,Haloragis
Ilex,Ilex
Juglans/Pterocarya,Juglans
Ligustrum,Ligustrum
Persicaria,Persicaria
Polygonaceae undiff.,Polygonaceae
Quercus sect. Cyclobalanopsis,Quercus
Quercus subg. Quercus,Quercus
Sanguisorba,Sanguisorba
Sciadopitys,Sciadopitys
Symplocos,Symplocos
Tsuga,Tsuga
Ulmus/Zelkova,Ulmus/Zelkova
Araliaceae,Araliaceae
Carpinus tschonoskii,Carpinus
Castanea/Castanopsis,Castanea
Cornus,Cornus
Cupressaceae-type,Cupressaceae
Epilobium,Epilobium
Fagopyrum,Fagopyrum
Fagus crenata,Fagus
Fagus japonica,Fagus
Impatiens,Impatiens
Juglans,Juglans
Liliaceae,Liliaceae
Lysichiton,Lysichiton
Mallotus,Mallotus
Myrica,Myrica
Ostrya/Carpinus,Ostrya
Parthenocissus,Parthenocissus
Phellodendron,Phellodendron
Pinus subg. Pinus,Pinus
Pterocarya,Pterocarya
Rhus,Rhus
Viscum,Viscum
Vitis,Vitis
Weigela,Weigela
Polygonaceae,Polygonaceae
Carduoideae,Asteraceae
Clematis-type,Clematis
Coptis,Coptis
Cupressaceae/Taxaceae undiff.,Cupressaceae
Prunus,Prunus
Reynoutria,Reynoutria
Skimmia,Skimmia
Sorbus,Sorbus
Alnus undiff.,Alnus
Alnus viridis,Alnus
Betula undiff.,Betula
Bistorta,Bistorta
Brassicaceae undiff.,Brassicaceae
Campanulaceae,Campanulaceae
Caprifoliaceae sensu lato undiff.,Caprifoliaceae
Cardamine,Cardamine
Cedrus,Cedrus
Celtis,Celtis
Cichorioideae undiff.,Asteraceae
Circaea,Circaea
Claytonia acutifolia,Claytonia
Corydalis,Corydalis
Dacrydium,Dacrydium
Dipsacoideae,Caprifoliaceae
Draba,Draba
Ericaceae undiff.,Ericaceae
Gentiana,Gentiana
Koenigia sect. Aconogonon,Koenigia
Linaceae,Linaceae
Linnaea borealis,Linnaea
Lonicera,Lonicera
Lythraceae,Lythraceae
Onagraceae undiff.,Onagraceae
Papaveraceae,Papaveraceae
Pedicularis,Pedicularis
Phlox,Phlox
Picea/Pinus undiff.,Picea
Picea sect. Eupicea,Picea
Picea sect. Omorika,Picea
Picea undiff.,Picea
Pinus undiff.,Pinus
Plantago,Plantago
Podocarpus,Podocarpus
Polemonium,Polemonium
Polygonum aviculare,Polygonum
Populus,Populus
Potentilla,Potentilla
Primulaceae,Primulaceae
Ranunculaceae undiff.,Ranunculaceae
Rhododendron,Rhododendron
Rosaceae undiff.,Rosaceae
Rubiaceae,Rubiaceae
Rumex/Oxyria digyna,Rumex
Saxifragaceae,Saxifragaceae
Scrophulariaceae undiff.,Scrophulariaceae
Spiraea,Spiraea
Taraxacum,Taraxacum
Tsuga canadensis,Tsuga
Tsuga diversifolia,Tsuga
Tsuga undiff.,Tsuga
Valeriana,Valeriana
Violaceae,Violaceae
Betula costata,Betula
Betula dahurica,Betula
Betula ermanii,Betula
Betula schmidtii,Betula
Pinus koraiensis,Pinus
Pinus subg. Strobus undiff.,Pinus
Syringa,Syringa
Amygdaloideae,Rosaceae
Apiaceae undiff.,Apiaceae
Bupleurum,Bupleurum
Caryophyllaceae undiff.,Caryophyllaceae
